year,fips,County,population,stateFIPS,State,Evictions,County_eviction_rate,State_eviction_rate,US_eviction_rate,Evictions_greater_state,Evictions_greater_US,covidCases,covidDeaths,County_covid_cases_rate,County_covid_death_rate,State_covid_cases_rate,State_covid_death_rate,US_covid_cases_rate,US_covid_death_rate,covidCases_greater_state,covidDeaths_greater_state,covidCases_greater_US,covidDeaths_greater_US
2016,2020,Municipality of Anchorage,288000,2,AK,2067,0.007177083333333333,0.002450512148972448,0.0070989431008165165,1,1,179,4,6.215277777777778e-4,1.388888888888889e-5,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,1,1,0,0
2016,2050,Bethel Census Area,18386,2,AK,11,5.982813009898836e-4,0.002450512148972448,0.0070989431008165165,0,0,1,0,5.438920918089851e-5,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,2180,Nome Census Area,10004,2,AK,11,0.0010995601759296281,0.002450512148972448,0.0070989431008165165,0,0,1,0,9.996001599360256e-5,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,2122,Kenai Peninsula Borough,58708,2,AK,117,0.001992914083259522,0.002450512148972448,0.0070989431008165165,0,0,19,1,3.2363562035838387e-4,1.7033453703072834e-5,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,1,0,0
2016,2220,Sitka City and Borough,8493,2,AK,13,0.0015306723183798423,0.002450512148972448,0.0070989431008165165,0,0,1,0,1.177440244907571e-4,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,2090,Fairbanks North Star Borough,96849,2,AK,246,0.0025400365517455007,0.002450512148972448,0.0070989431008165165,1,0,81,2,8.363534987454698e-4,2.0650703672727648e-5,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,1,1,0,0
2016,2170,Matanuska-Susitna Borough,108317,2,AK,213,0.001966450326356897,0.002450512148972448,0.0070989431008165165,0,0,21,1,1.9387538428870815e-4,9.23216115660515e-6,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,1,0,0
2016,2261,Valdez-Cordova Census Area,9202,2,AK,16,0.001738752445120626,0.002450512148972448,0.0070989431008165165,0,0,0,0,0,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,2130,Ketchikan Gateway Borough,13901,2,AK,55,0.003956549888497231,0.002450512148972448,0.0070989431008165165,1,0,16,0,0.0011509963311991942,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,1,0,0,0
2016,2150,Kodiak Island Borough,12998,2,AK,31,0.0023849823049699953,0.002450512148972448,0.0070989431008165165,0,0,1,0,7.693491306354824e-5,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,2110,City and Borough of Juneau,31974,2,AK,63,0.0019703509101144682,0.002450512148972448,0.0070989431008165165,0,0,27,0,8.44436104334772e-4,0,3.927138981302829e-4,5.527746129208592e-6,0.0032058764285411655,1.8379222213283012e-4,1,0,0,0
2016,5089,Marion County,16694,5,AR,16,9.58428177788427e-4,0.0010427344733320403,0.0070989431008165165,0,0,1,0,5.9901761111776687e-5,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5145,White County,78753,5,AR,63,7.999695249704773e-4,0.0010427344733320403,0.0070989431008165165,0,0,34,1,4.3172958490470204e-4,1.2697928967785353e-5,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5009,Boone County,37432,5,AR,32,8.548835221201111e-4,0.0010427344733320403,0.0070989431008165165,0,0,4,0,1.0686044026501389e-4,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5139,Union County,38682,5,AR,26,6.721472519518122e-4,0.0010427344733320403,0.0070989431008165165,0,0,50,0,0.0012925908691381004,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,1,0,0,0
2016,5125,Saline County,122437,5,AR,124,0.001012765748915769,0.0010427344733320403,0.0070989431008165165,0,0,67,1,5.472202030431978e-4,8.167465717062652e-6,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5085,Lonoke County,73309,5,AR,34,4.637902576764108e-4,0.0010427344733320403,0.0070989431008165165,0,0,41,0,5.592764871980248e-4,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5055,Greene County,45325,5,AR,27,5.956977385548814e-4,0.0010427344733320403,0.0070989431008165165,0,0,16,0,3.530060672917816e-4,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5031,Craighead County,110332,5,AR,107,9.69800239277816e-4,0.0010427344733320403,0.0070989431008165165,0,0,74,0,6.707029692201718e-4,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,0,0,0,0
2016,5051,Garland County,99386,5,AR,81,8.150041253295233e-4,0.0010427344733320403,0.0070989431008165165,0,0,116,0,0.0011671664017064778,0,7.902578011452964e-4,2.4224664396160877e-5,0.0032058764285411655,1.8379222213283012e-4,1,0,0,0
